tokenizer,category,unit,n_tokens,single_token
gpt2,squares,g7,2,False
gpt2,squares,g8,2,False
gpt2,squares,h1,2,False
gpt2,squares,h2,2,False
gpt2,squares,h3,2,False
gpt2,squares,h4,2,False
gpt2,squares,h5,2,False
gpt2,squares,h6,2,False
gpt2,squares,h7,2,False
gpt2,squares,h8,2,False
gpt2,san_promotions,e8=Q,4,False
gpt2,san_promotions,e8=N,4,False
gpt2,san_promotions,a1=Q,4,False
gpt2,san_promotions,h1=Q,4,False
gpt2,uci_moves,e2e4,4,False
gpt2,uci_moves,g1f3,4,False
gpt2,uci_moves,e7e8q,5,False
gpt2,uci_moves,a2a1q,5,False
gpt2,fen_atoms,w,1,True
gpt2,fen_atoms,b,1,True
gpt2,fen_atoms,KQkq,4,False
gpt2,fen_atoms,-,1,True
gpt2,top20_san,O-O,3,False
gpt2,top20_san,Nf3,3,False
gpt2,top20_san,e4,2,False
gpt2,top20_san,Nf6,3,False
gpt2,top20_san,d4,2,False
gpt2,top20_san,d5,2,False
gpt2,top20_san,e5,2,False
gpt2,top20_san,Nc6,3,False
gpt2,top20_san,Nc3,3,False
gpt2,top20_san,c5,2,False
gpt2,top20_san,e6,2,False
gpt2,top20_san,c4,2,False
gpt2,top20_san,d6,2,False
gpt2,top20_san,f4,2,False
gpt2,top20_san,c3,2,False
gpt2,top20_san,h3,2,False
gpt2,top20_san,h6,2,False
gpt2,top20_san,c6,2,False
gpt2,top20_san,g6,2,False
gpt2,top20_san,b5,2,False
cl100k_base,castling,O-O,2,False
cl100k_base,castling,O-O-O,3,False
cl100k_base,piece_letters,K,1,True
cl100k_base,piece_letters,Q,1,True
cl100k_base,piece_letters,R,1,True
cl100k_base,piece_letters,B,1,True
cl100k_base,piece_letters,N,1,True
cl100k_base,markers,x,1,True
cl100k_base,markers,+,1,True
cl100k_base,markers,#,1,True
cl100k_base,markers,=,1,True
cl100k_base,squares,a1,2,False
cl100k_base,squares,a2,2,False
cl100k_base,squares,a3,2,False
cl100k_base,squares,a4,2,False
cl100k_base,squares,a5,2,False
cl100k_base,squares,a6,2,False
cl100k_base,squares,a7,2,False
cl100k_base,squares,a8,2,False
cl100k_base,squares,b1,2,False
cl100k_base,squares,b2,2,False
cl100k_base,squares,b3,2,False
cl100k_base,squares,b4,2,False
cl100k_base,squares,b5,2,False
cl100k_base,squares,b6,2,False
cl100k_base,squares,b7,2,False
cl100k_base,squares,b8,2,False
cl100k_base,squares,c1,2,False
cl100k_base,squares,c2,2,False
cl100k_base,squares,c3,2,False
cl100k_base,squares,c4,2,False
cl100k_base,squares,c5,2,False
cl100k_base,squares,c6,2,False
cl100k_base,squares,c7,2,False
cl100k_base,squares,c8,2,False
cl100k_base,squares,d1,2,False
cl100k_base,squares,d2,2,False
cl100k_base,squares,d3,2,False
cl100k_base,squares,d4,2,False
cl100k_base,squares,d5,2,False
cl100k_base,squares,d6,2,False
cl100k_base,squares,d7,2,False
cl100k_base,squares,d8,2,False
cl100k_base,squares,e1,2,False
cl100k_base,squares,e2,2,False
cl100k_base,squares,e3,2,False
cl100k_base,squares,e4,2,False
cl100k_base,squares,e5,2,False
cl100k_base,squares,e6,2,False
cl100k_base,squares,e7,2,False
cl100k_base,squares,e8,2,False
cl100k_base,squares,f1,2,False
cl100k_base,squares,f2,2,False
cl100k_base,squares,f3,2,False
cl100k_base,squares,f4,2,False
cl100k_base,squares,f5,2,False
cl100k_base,squares,f6,2,False
cl100k_base,squares,f7,2,False
cl100k_base,squares,f8,2,False
cl100k_base,squares,g1,2,False
cl100k_base,squares,g2,2,False
cl100k_base,squares,g3,2,False
cl100k_base,squares,g4,2,False
cl100k_base,squares,g5,2,False
cl100k_base,squares,g6,2,False
cl100k_base,squares,g7,2,False
cl100k_base,squares,g8,2,False
cl100k_base,squares,h1,2,False
cl100k_base,squares,h2,2,False
cl100k_base,squares,h3,2,False
cl100k_base,squares,h4,2,False
cl100k_base,squares,h5,2,False
cl100k_base,squares,h6,2,False
cl100k_base,squares,h7,2,False
cl100k_base,squares,h8,2,False
cl100k_base,san_promotions,e8=Q,4,False
cl100k_base,san_promotions,e8=N,3,False
cl100k_base,san_promotions,a1=Q,4,False
cl100k_base,san_promotions,h1=Q,4,False
cl100k_base,uci_moves,e2e4,4,False
cl100k_base,uci_moves,g1f3,4,False
cl100k_base,uci_moves,e7e8q,5,False
cl100k_base,uci_moves,a2a1q,5,False
cl100k_base,fen_atoms,w,1,True
cl100k_base,fen_atoms,b,1,True
cl100k_base,fen_atoms,KQkq,4,False
cl100k_base,fen_atoms,-,1,True
cl100k_base,top20_san,O-O,2,False
cl100k_base,top20_san,Nf3,3,False
cl100k_base,top20_san,e4,2,False
cl100k_base,top20_san,Nf6,3,False
cl100k_base,top20_san,d4,2,False
cl100k_base,top20_san,d5,2,False
cl100k_base,top20_san,e5,2,False
cl100k_base,top20_san,Nc6,3,False
cl100k_base,top20_san,Nc3,3,False
cl100k_base,top20_san,c5,2,False
cl100k_base,top20_san,e6,2,False
cl100k_base,top20_san,c4,2,False
cl100k_base,top20_san,d6,2,False
cl100k_base,top20_san,f4,2,False
cl100k_base,top20_san,c3,2,False
cl100k_base,top20_san,h3,2,False
cl100k_base,top20_san,h6,2,False
cl100k_base,top20_san,c6,2,False
cl100k_base,top20_san,g6,2,False
cl100k_base,top20_san,b5,2,False
o200k_base,castling,O-O,2,False
o200k_base,castling,O-O-O,3,False
o200k_base,piece_letters,K,1,True
o200k_base,piece_letters,Q,1,True
o200k_base,piece_letters,R,1,True
o200k_base,piece_letters,B,1,True
o200k_base,piece_letters,N,1,True
o200k_base,markers,x,1,True
o200k_base,markers,+,1,True
o200k_base,markers,#,1,True
o200k_base,markers,=,1,True
o200k_base,squares,a1,2,False
o200k_base,squares,a2,2,False
o200k_base,squares,a3,2,False
o200k_base,squares,a4,2,False
o200k_base,squares,a5,2,False
o200k_base,squares,a6,2,False
o200k_base,squares,a7,2,False
o200k_base,squares,a8,2,False
o200k_base,squares,b1,2,False
o200k_base,squares,b2,2,False
o200k_base,squares,b3,2,False
o200k_base,squares,b4,2,False
o200k_base,squares,b5,2,False
o200k_base,squares,b6,2,False
o200k_base,squares,b7,2,False
o200k_base,squares,b8,2,False
o200k_base,squares,c1,2,False
o200k_base,squares,c2,2,False
o200k_base,squares,c3,2,False
o200k_base,squares,c4,2,False
o200k_base,squares,c5,2,False
o200k_base,squares,c6,2,False
o200k_base,squares,c7,2,False
o200k_base,squares,c8,2,False
o200k_base,squares,d1,2,False
o200k_base,squares,d2,2,False
o200k_base,squares,d3,2,False
o200k_base,squares,d4,2,False
o200k_base,squares,d5,2,False
o200k_base,squares,d6,2,False
o200k_base,squares,d7,2,False
o200k_base,squares,d8,2,False
o200k_base,squares,e1,2,False
o200k_base,squares,e2,2,False
o200k_base,squares,e3,2,False
o200k_base,squares,e4,2,False
o200k_base,squares,e5,2,False
o200k_base,squares,e6,2,False
o200k_base,squares,e7,2,False
o200k_base,squares,e8,2,False
o200k_base,squares,f1,2,False
o200k_base,squares,f2,2,False
o200k_base,squares,f3,2,False
o200k_base,squares,f4,2,False
o200k_base,squares,f5,2,False
o200k_base,squares,f6,2,False
o200k_base,squares,f7,2,False
o200k_base,squares,f8,2,False
o200k_base,squares,g1,2,False
o200k_base,squares,g2,2,False
o200k_base,squares,g3,2,False
o200k_base,squares,g4,2,False
o200k_base,squares,g5,2,False
o200k_base,squares,g6,2,False
o200k_base,squares,g7,2,False
o200k_base,squares,g8,2,False
o200k_base,squares,h1,2,False
o200k_base,squares,h2,2,False
o200k_base,squares,h3,2,False
o200k_base,squares,h4,2,False
o200k_base,squares,h5,2,False
o200k_base,squares,h6,2,False
o200k_base,squares,h7,2,False
o200k_base,squares,h8,2,False
o200k_base,san_promotions,e8=Q,4,False
o200k_base,san_promotions,e8=N,3,False
o200k_base,san_promotions,a1=Q,4,False
o200k_base,san_promotions,h1=Q,4,False
o200k_base,uci_moves,e2e4,4,False
o200k_base,uci_moves,g1f3,4,False
o200k_base,uci_moves,e7e8q,5,False
o200k_base,uci_moves,a2a1q,5,False
o200k_base,fen_atoms,w,1,True
o200k_base,fen_atoms,b,1,True
o200k_base,fen_atoms,KQkq,4,False
o200k_base,fen_atoms,-,1,True
o200k_base,top20_san,O-O,2,False
o200k_base,top20_san,Nf3,3,False
o200k_base,top20_san,e4,2,False
o200k_base,top20_san,Nf6,3,False
o200k_base,top20_san,d4,2,False
o200k_base,top20_san,d5,2,False
o200k_base,top20_san,e5,2,False
o200k_base,top20_san,Nc6,2,False
o200k_base,top20_san,Nc3,2,False
o200k_base,top20_san,c5,2,False
o200k_base,top20_san,e6,2,False
o200k_base,top20_san,c4,2,False
o200k_base,top20_san,d6,2,False
o200k_base,top20_san,f4,2,False
o200k_base,top20_san,c3,2,False
o200k_base,top20_san,h3,2,False
o200k_base,top20_san,h6,2,False
o200k_base,top20_san,c6,2,False
o200k_base,top20_san,g6,2,False
o200k_base,top20_san,b5,2,False
mistral,castling,O-O,3,False
mistral,castling,O-O-O,5,False
mistral,piece_letters,K,1,True
mistral,piece_letters,Q,1,True
mistral,piece_letters,R,1,True
mistral,piece_letters,B,1,True
mistral,piece_letters,N,1,True
mistral,markers,x,1,True
mistral,markers,+,1,True
mistral,markers,#,1,True
mistral,markers,=,1,True
mistral,squares,a1,2,False
mistral,squares,a2,2,False
mistral,squares,a3,2,False
mistral,squares,a4,2,False
mistral,squares,a5,2,False
mistral,squares,a6,2,False
mistral,squares,a7,2,False
mistral,squares,a8,2,False
mistral,squares,b1,2,False
mistral,squares,b2,2,False
mistral,squares,b3,2,False
mistral,squares,b4,2,False
mistral,squares,b5,2,False
mistral,squares,b6,2,False
mistral,squares,b7,2,False
mistral,squares,b8,2,False
mistral,squares,c1,2,False
mistral,squares,c2,2,False
mistral,squares,c3,2,False
mistral,squares,c4,2,False
mistral,squares,c5,2,False
mistral,squares,c6,2,False
mistral,squares,c7,2,False
mistral,squares,c8,2,False
mistral,squares,d1,2,False
mistral,squares,d2,2,False
mistral,squares,d3,2,False
mistral,squares,d4,2,False
mistral,squares,d5,2,False
mistral,squares,d6,2,False
mistral,squares,d7,2,False
mistral,squares,d8,2,False
mistral,squares,e1,2,False
mistral,squares,e2,2,False
mistral,squares,e3,2,False
mistral,squares,e4,2,False
mistral,squares,e5,2,False
mistral,squares,e6,2,False
mistral,squares,e7,2,False
mistral,squares,e8,2,False
mistral,squares,f1,2,False
mistral,squares,f2,2,False
mistral,squares,f3,2,False
mistral,squares,f4,2,False
mistral,squares,f5,2,False
mistral,squares,f6,2,False
mistral,squares,f7,2,False
mistral,squares,f8,2,False
mistral,squares,g1,2,False
mistral,squares,g2,2,False
mistral,squares,g3,2,False
mistral,squares,g4,2,False
mistral,squares,g5,2,False
mistral,squares,g6,2,False
mistral,squares,g7,2,False
mistral,squares,g8,2,False
mistral,squares,h1,2,False
mistral,squares,h2,2,False
mistral,squares,h3,2,False
mistral,squares,h4,2,False
mistral,squares,h5,2,False
mistral,squares,h6,2,False
mistral,squares,h7,2,False
mistral,squares,h8,2,False
mistral,san_promotions,e8=Q,4,False
mistral,san_promotions,e8=N,4,False
mistral,san_promotions,a1=Q,4,False
mistral,san_promotions,h1=Q,4,False
mistral,uci_moves,e2e4,4,False
mistral,uci_moves,g1f3,4,False
mistral,uci_moves,e7e8q,5,False
mistral,uci_moves,a2a1q,5,False
mistral,fen_atoms,w,1,True
mistral,fen_atoms,b,1,True
mistral,fen_atoms,KQkq,4,False
mistral,fen_atoms,-,1,True
mistral,top20_san,O-O,3,False
mistral,top20_san,Nf3,3,False
mistral,top20_san,e4,2,False
mistral,top20_san,Nf6,3,False
mistral,top20_san,d4,2,False
mistral,top20_san,d5,2,False
mistral,top20_san,e5,2,False
mistral,top20_san,Nc6,3,False
mistral,top20_san,Nc3,3,False
mistral,top20_san,c5,2,False
mistral,top20_san,e6,2,False
mistral,top20_san,c4,2,False
mistral,top20_san,d6,2,False
mistral,top20_san,f4,2,False
mistral,top20_san,c3,2,False
mistral,top20_san,h3,2,False
mistral,top20_san,h6,2,False
mistral,top20_san,c6,2,False
mistral,top20_san,g6,2,False
mistral,top20_san,b5,2,False
pgn_tokenizer,castling,O-O,1,True
pgn_tokenizer,castling,O-O-O,1,True
pgn_tokenizer,piece_letters,K,1,True
pgn_tokenizer,piece_letters,Q,1,True
pgn_tokenizer,piece_letters,R,1,True
pgn_tokenizer,piece_letters,B,1,True
pgn_tokenizer,piece_letters,N,1,True
pgn_tokenizer,markers,x,1,True
pgn_tokenizer,markers,+,1,True
pgn_tokenizer,markers,#,1,True
pgn_tokenizer,markers,=,1,True
pgn_tokenizer,squares,a1,1,True
pgn_tokenizer,squares,a2,1,True
pgn_tokenizer,squares,a3,1,True
pgn_tokenizer,squares,a4,1,True
pgn_tokenizer,squares,a5,1,True
pgn_tokenizer,squares,a6,1,True
pgn_tokenizer,squares,a7,2,False
pgn_tokenizer,squares,a8,2,False
pgn_tokenizer,squares,b1,1,True
pgn_tokenizer,squares,b2,1,True
pgn_tokenizer,squares,b3,1,True
pgn_tokenizer,squares,b4,1,True
pgn_tokenizer,squares,b5,1,True
pgn_tokenizer,squares,b6,1,True
pgn_tokenizer,squares,b7,2,False
pgn_tokenizer,squares,b8,2,False
pgn_tokenizer,squares,c1,1,True
pgn_tokenizer,squares,c2,1,True
pgn_tokenizer,squares,c3,1,True
pgn_tokenizer,squares,c4,1,True
pgn_tokenizer,squares,c5,1,True
pgn_tokenizer,squares,c6,1,True
pgn_tokenizer,squares,c7,2,False
pgn_tokenizer,squares,c8,2,False
pgn_tokenizer,squares,d1,1,True
pgn_tokenizer,squares,d2,1,True
pgn_tokenizer,squares,d3,1,True
pgn_tokenizer,squares,d4,1,True
pgn_tokenizer,squares,d5,1,True
pgn_tokenizer,squares,d6,1,True
pgn_tokenizer,squares,d7,2,False
pgn_tokenizer,squares,d8,2,False
pgn_tokenizer,squares,e1,1,True
pgn_tokenizer,squares,e2,1,True
pgn_tokenizer,squares,e3,1,True
pgn_tokenizer,squares,e4,1,True
pgn_tokenizer,squares,e5,1,True
pgn_tokenizer,squares,e6,1,True
pgn_tokenizer,squares,e7,2,False
pgn_tokenizer,squares,e8,2,False
pgn_tokenizer,squares,f1,1,True
pgn_tokenizer,squares,f2,1,True
pgn_tokenizer,squares,f3,1,True
pgn_tokenizer,squares,f4,1,True
pgn_tokenizer,squares,f5,1,True
pgn_tokenizer,squares,f6,1,True
pgn_tokenizer,squares,f7,2,False
pgn_tokenizer,squares,f8,2,False
pgn_tokenizer,squares,g1,1,True
pgn_tokenizer,squares,g2,1,True
pgn_tokenizer,squares,g3,1,True
pgn_tokenizer,squares,g4,1,True
pgn_tokenizer,squares,g5,1,True
pgn_tokenizer,squares,g6,1,True
pgn_tokenizer,squares,g7,2,False
pgn_tokenizer,squares,g8,2,False
pgn_tokenizer,squares,h1,1,True
pgn_tokenizer,squares,h2,1,True
pgn_tokenizer,squares,h3,1,True
pgn_tokenizer,squares,h4,1,True
pgn_tokenizer,squares,h5,1,True
pgn_tokenizer,squares,h6,1,True
pgn_tokenizer,squares,h7,2,False
pgn_tokenizer,squares,h8,2,False
pgn_tokenizer,san_promotions,e8=Q,4,False
pgn_tokenizer,san_promotions,e8=N,4,False
pgn_tokenizer,san_promotions,a1=Q,3,False
pgn_tokenizer,san_promotions,h1=Q,3,False
pgn_tokenizer,uci_moves,e2e4,2,False
pgn_tokenizer,uci_moves,g1f3,2,False
pgn_tokenizer,uci_moves,e7e8q,4,False
pgn_tokenizer,uci_moves,a2a1q,3,False
pgn_tokenizer,fen_atoms,w,2,False
pgn_tokenizer,fen_atoms,b,1,True
pgn_tokenizer,fen_atoms,KQkq,3,False
pgn_tokenizer,fen_atoms,-,2,False
pgn_tokenizer,top20_san,O-O,1,True
pgn_tokenizer,top20_san,Nf3,1,True
pgn_tokenizer,top20_san,e4,1,True
pgn_tokenizer,top20_san,Nf6,1,True
pgn_tokenizer,top20_san,d4,1,True
pgn_tokenizer,top20_san,d5,1,True
pgn_tokenizer,top20_san,e5,1,True
pgn_tokenizer,top20_san,Nc6,1,True
pgn_tokenizer,top20_san,Nc3,1,True
pgn_tokenizer,top20_san,c5,1,True
pgn_tokenizer,top20_san,e6,1,True
pgn_tokenizer,top20_san,c4,1,True
pgn_tokenizer,top20_san,d6,1,True
pgn_tokenizer,top20_san,f4,1,True
pgn_tokenizer,top20_san,c3,1,True
pgn_tokenizer,top20_san,h3,1,True
pgn_tokenizer,top20_san,h6,1,True
pgn_tokenizer,top20_san,c6,1,True
pgn_tokenizer,top20_san,g6,1,True
pgn_tokenizer,top20_san,b5,1,True
grammar,castling,O-O,1,True
grammar,castling,O-O-O,1,True
grammar,piece_letters,K,1,True
grammar,piece_letters,Q,1,True
grammar,piece_letters,R,1,True
grammar,piece_letters,B,1,True
grammar,piece_letters,N,1,True
grammar,markers,x,1,True
grammar,markers,+,1,True
grammar,markers,#,1,True
grammar,markers,=,1,True
grammar,squares,a1,2,False
grammar,squares,a2,2,False
grammar,squares,a3,2,False
grammar,squares,a4,2,False
grammar,squares,a5,2,False
grammar,squares,a6,2,False
grammar,squares,a7,2,False
grammar,squares,a8,2,False
grammar,squares,b1,2,False
grammar,squares,b2,2,False
grammar,squares,b3,2,False
grammar,squares,b4,2,False
grammar,squares,b5,2,False
grammar,squares,b6,2,False
grammar,squares,b7,2,False
grammar,squares,b8,2,False
grammar,squares,c1,2,False
grammar,squares,c2,2,False
grammar,squares,c3,2,False
grammar,squares,c4,2,False
grammar,squares,c5,2,False
grammar,squares,c6,2,False
grammar,squares,c7,2,False
grammar,squares,c8,2,False
grammar,squares,d1,2,False
grammar,squares,d2,2,False
grammar,squares,d3,2,False
grammar,squares,d4,2,False
grammar,squares,d5,2,False
grammar,squares,d6,2,False
grammar,squares,d7,2,False
grammar,squares,d8,2,False
grammar,squares,e1,2,False
grammar,squares,e2,2,False
grammar,squares,e3,2,False
grammar,squares,e4,2,False
grammar,squares,e5,2,False
grammar,squares,e6,2,False
grammar,squares,e7,2,False
grammar,squares,e8,2,False
grammar,squares,f1,2,False
grammar,squares,f2,2,False
grammar,squares,f3,2,False
grammar,squares,f4,2,False
grammar,squares,f5,2,False
grammar,squares,f6,2,False
grammar,squares,f7,2,False
grammar,squares,f8,2,False
grammar,squares,g1,2,False
grammar,squares,g2,2,False
grammar,squares,g3,2,False
grammar,squares,g4,2,False
grammar,squares,g5,2,False
grammar,squares,g6,2,False
grammar,squares,g7,2,False
grammar,squares,g8,2,False
grammar,squares,h1,2,False
grammar,squares,h2,2,False
grammar,squares,h3,2,False
grammar,squares,h4,2,False
grammar,squares,h5,2,False
grammar,squares,h6,2,False
grammar,squares,h7,2,False
grammar,squares,h8,2,False
grammar,san_promotions,e8=Q,4,False
grammar,san_promotions,e8=N,4,False
grammar,san_promotions,a1=Q,4,False
grammar,san_promotions,h1=Q,4,False
grammar,uci_moves,e2e4,4,False
grammar,uci_moves,g1f3,4,False
grammar,uci_moves,e7e8q,5,False
grammar,uci_moves,a2a1q,5,False
grammar,fen_atoms,w,1,True
grammar,fen_atoms,b,1,True
grammar,fen_atoms,KQkq,4,False
grammar,fen_atoms,-,1,True
grammar,top20_san,O-O,1,True
grammar,top20_san,Nf3,3,False
grammar,top20_san,e4,2,False
grammar,top20_san,Nf6,3,False
grammar,top20_san,d4,2,False
grammar,top20_san,d5,2,False
grammar,top20_san,e5,2,False
grammar,top20_san,Nc6,3,False
grammar,top20_san,Nc3,3,False
grammar,top20_san,c5,2,False
grammar,top20_san,e6,2,False
grammar,top20_san,c4,2,False
grammar,top20_san,d6,2,False
grammar,top20_san,f4,2,False
grammar,top20_san,c3,2,False
grammar,top20_san,h3,2,False
grammar,top20_san,h6,2,False
grammar,top20_san,c6,2,False
grammar,top20_san,g6,2,False
grammar,top20_san,b5,2,False
